text,ticker,net_score,label
"Stock Market Today, July 10: Markets Edge Higher and SK Hynix Soars on Debut",META,0.0,1
Why Is Meta (META) Stock Soaring Today,META,0.0,2
"S&P 500 Posts Weekly Gain as Technology, Energy Rally",META,1.0,2
"SK Hynix, Micron, Meta, Delta, Circle Internet, and More Stocks That Explain Today’s Market",META,0.0,1
"Top Analyst Reports for SpaceX, Meta Platforms & Boeing",META,0.0,1
"Stock market today: Dow, S&P 500, Nasdaq rise to cap choppy week as SK Hynix pops in US debut",NVDA,0.0,1
Chip stocks regain some ground after whipsaw of a trading week,NVDA,0.0,1
Why you should care about SK Hynix's IPO,NVDA,0.0,1
Ford Just Won Its First J.D. Power Quality Crown Since 2010. Here's What It Means for the Stock.,NVDA,0.0,1
Why Gulfport Energy Stock Flopped on Friday,NVDA,0.0,1
Why Vodafone Stock Rocketed Almost 13% Higher Today,NVDA,0.0,1
Circle Just Won a U.S. National Bank Charter. Here's Why It Matters for the Stock.,NVDA,0.0,1
Why Simply Good Foods Slipped by Almost 2% on Friday,NVDA,0.0,1
Circle Receives New Regulatory Approval for National Trust Bank. Here's What It Could Mean For CRCL Stock,NVDA,-1.0,1
Missed Nvidia’s Run? SMH Holders Made 113% Over 12 Months Anyway,NVDA,0.0,2
"SK Hynix, Micron, Meta, Delta, Circle Internet, and More Stocks That Explain Today’s Market",INTC,0.0,1
Intel's Turnaround Has a Long Way to Run,INTC,0.0,1
Processors and Graphics Chips Stocks Q1 Teardown: Intel (NASDAQ:INTC) Vs The Rest,INTC,0.0,1
Nvidia Vera CPU Expands Market Reach,INTC,0.0,0
"Altera returns to growth as AI, robotics fuel demand, CEO says",INTC,1.0,2
Why Intel Shares Are Down Today,INTC,0.0,0
XSD vs. SMH: Should Your Semiconductor ETF Be Equal-Weight or Cap-Weight?,INTC,0.0,1
Intel’s $200 Billion Turnaround Plan Is Under the Microscope,INTC,0.0,1
Price Prediction: Can Intel Double by 2030?,INTC,0.0,1
Intel's Operating Margins Are Improving: Is More Upside Ahead?,INTC,1.0,2
Chip stocks regain some ground after whipsaw of a trading week,AMD,0.0,1
Nasdaq's hottest winners just fell behind: Chart of the Day,AMD,0.0,0
South Korean Memory Chip Maker’s Historic U.S. Debut Jolts Stocks,AMD,0.0,1
Why Is Meta (META) Stock Soaring Today,AMD,0.0,1
SK Hynix: How It Measures Up After Day One,AMD,0.0,1
"Why the Pure Bitcoin-Miner Fund Crushed the Blockchain Basket, Up 184%",AMD,0.0,1
Micron Jumps as Chip Sentiment Improves,AMD,0.0,1
What's Going On With Nvidia Stock Friday,AMD,0.0,1
Nvidia Vera CPU Expands Market Reach,AMD,0.0,1
Rackspace Technology (RXT) Rebounds 22% After Brutal Week,AMD,-1.0,1
Lumentum Stock Was Already Sold Out Before Its Big Rally,CSCO,1.0,1
The Quiet Surge In Arista Networks Stock Masks A Volatile Outlook,CSCO,1.0,1
"Cisco, IBD Stock Of The Day, Went From Slow-Growth Tech Icon To AI Infrastructure Leader",CSCO,1.0,2
How Hewlett Packard Built A Fortress Out Of Its Backlog,CSCO,0.0,1
"Dow Jones Futures: Big Earnings Due As Market Sets Up; Nvidia, Micron, Sandisk, Robinhood, SpaceX In Focus",CSCO,1.0,1
How To Invest In Stocks Using History — And Unique Analysis From Bill O'Neil,CSCO,0.0,1
Why Ciena Stock More Than Doubled in the First Half of 2026,CSCO,0.0,1
Ciena Soars 495% in a Year: Should Investors Buy the Stock Now?,CSCO,1.0,1
3 Strong Buy Stocks for this Red-Hot Earnings Season,CSCO,1.0,1
"Dow Jones Futures Rise, Delta Falls On Earnings; Micron, Sandisk Slide As SK Hynix Raises $26.5 Billion",CSCO,1.0,1
How Adobe Stock's Cash Generation Changes The AI Debate,CRM,0.0,1
SoundHound Stock Outlook as Enterprise AI Adoption Accelerates in 2026,CRM,1.0,1
CTSH Strengthens Enterprise AI Strategy With Frontier Workforce,CRM,0.0,1
Is It Time To Buy The Dip On Microsoft Stock?,CRM,1.0,1
Salesforce Just Scored a Major Air Force Win. How to Play CRM Stock Here.,CRM,0.0,2
Can Salesforce’s (CRM) Latest $1 billion Investment Change The Stock’s Fortunes?,CRM,0.0,1
Is CRM Stock A Steal Or A Trap At 40% Off?,CRM,0.0,1
Why Salesforce Plunged Over 40% in the First Half of 2026,CRM,0.0,0
Jim Cramer Says He Doesn’t Really Like Adobe,CRM,0.0,1
Can DocuSign’s (DOCU) Iris AI Push It From E-Signature Tool To Core Workflow Platform?,CRM,0.0,1
AI cash flow is booming for chipmakers & plummeting for Big Tech: Charts of the Day,ORCL,0.0,0
Arista Networks (ANET) Could Be 2% Undervalued Following Its AI Switching Push,ORCL,0.0,1
Why tech investors are reevaluating AI investments,ORCL,0.0,1
Oracle’s dividend history: Payout ratio and dividend yield,ORCL,1.0,1
UK Brings Amazon Web Services Under Direct Financial Oversight,ORCL,0.0,1
AI Giants Add $350 Billion Debt as $725 Billion Spending Surges,ORCL,-1.0,0
How Adobe Stock's Cash Generation Changes The AI Debate,ORCL,0.0,2
"UK to regulate cloud service providers Microsoft, Google and others to protect financial stability",ORCL,0.0,0
Jim Cramer: SK Hynix Is the Last Big IPO of 2026 Unless a Hyperscaler Shocks Us,ORCL,0.0,1
"Microsoft, Google Face UK Cloud Oversight",ORCL,0.0,0
Why Microsoft is not this portfolio manager's stock pick,IBM,0.0,0
Quantum Is the Future for Washington. Inside a White House Summit.,IBM,0.0,1
How Hewlett Packard Built A Fortress Out Of Its Backlog,IBM,0.0,2
IT Keeps Buying What The Market Keeps Selling,IBM,0.0,1
IBM Is a Great Quantum Play. It’s Still Not a Buy.,IBM,1.0,1
IBM Shares Dip After Susquehanna Starts Coverage With Neutral Rating,IBM,0.0,0
Starbucks tries something it failed at before,IBM,0.0,0
IBM's Quantum Upside Meets Valuation Risk,IBM,0.0,1
"SoundHound Trends in Voice AI, OASYS and Rising Agentic Demand Today",IBM,0.0,1
Chief Investment Strategist: “We Are Spending Almost 3% of GDP on AI” as Stocks Tune Out Global Conflict on “Astronomical Investment”,IBM,0.0,1
How Adobe Stock's Cash Generation Changes The AI Debate,ADBE,0.0,2
Here's Why Investors Should Hold Docusign in Their Portfolios Now,ADBE,0.0,2
Is CRM Stock A Steal Or A Trap At 40% Off?,ADBE,0.0,1
Jim Cramer Says He Doesn’t Really Like Adobe,ADBE,0.0,0
3 Tech Stocks Poised for Comebacks,ADBE,0.0,2
Figma CEO Says He’s ‘Never Been More Bullish’ As AI Vs Design Debate Intensifies,ADBE,1.0,2
Salesforce Downgrade Sparks Slide in Software Stocks,ADBE,-1.0,0
Bank of America Says AI Will Drag Down Adobe Stock,ADBE,0.0,0
This Week In E-Commerce - Shopify's Q2 2026 Financial Results Announcement Insights,ADBE,0.0,1
"Winning Trade of Buying Chips, Selling Software Is Falling Apart",ADBE,0.0,1
"US Equity Markets End Higher Amid Broad Rally, US-Iran Diplomatic Progress",NFLX,1.0,2
Netflix's Viewer Retention Push Gets Bigger,NFLX,0.0,2
Sector Update: Consumer Stocks Rise Late Afternoon,NFLX,0.0,2
Netflix Weighs Live TV Push,NFLX,0.0,1
Should You Buy Netflix Stock Before July 16? Here's My Honest Answer,NFLX,1.0,1
Why Netflix’s Pivot to Live TV Is a Big Risk,NFLX,-1.0,0
What Google Stock Was Telling You Before It Doubled,NFLX,0.0,1
Netflix’s $300 Billion Comeback Is Turning Skeptics Into Believers,NFLX,0.0,2
Top Midday Stories: SK Hynix Marks Record-Setting Debut in US Market; Meta Faces $2 Billion Manus Deal Rollback,NFLX,1.0,1
Netflix's 111 Emmy Nominations: Is the Strong Slate Enough to Win Big?,NFLX,1.0,1
ServiceNow (NOW) Stock Sinks As Market Gains: What You Should Know,NOW,1.0,0
CTSH Strengthens Enterprise AI Strategy With Frontier Workforce,NOW,0.0,2
"Update: US Equity Futures Mixed Pre-Bell Amid SK Hynix's Record-Setting US Market Debut, Resumption of US-Iran Talks",NOW,1.0,1
Cloud AI Update - AI Transforms Architecture With Smart Design And Planning,NOW,0.0,1
Is CRM Stock A Steal Or A Trap At 40% Off?,NOW,0.0,1
Jim Cramer Says He Doesn’t Really Like Adobe,NOW,0.0,0
Why ServiceNow Stock Crushed it on Thursday,NOW,0.0,2
Chip Stocks Drop 12% as Software Rebounds in AI Trade Shift,NOW,-1.0,0
Why Is Palantir Stock Falling Today,NOW,0.0,0
UiPath's Valuation Looks Attractive After the Recent Pullback,NOW,0.0,2
Q2 Earnings Season Arrives: Can Results Match Upbeat Expectations?,JNJ,1.0,1
Johnson & Johnson (JNJ) Faces Fresh Talc Risk After $45 Million Verdict Stands,JNJ,-1.0,0
"Three Dividend Strategies That Can Produce $7,500 a Month and Which One Comes Out Ahead",JNJ,1.0,1
A Dividend Portfolio That Pays For Your Pets,JNJ,1.0,1
Jim Cramer recommends buying these 5 stocks,JNJ,0.0,2
"Moderna Drops 11%, ImmunityBio and Sarepta Therapeutics Tumble 8% in Biotech Rout",JNJ,0.0,0
"Johnson & Johnson vs AbbVie: Two Paths to Pharma Dominance, One Winner",JNJ,0.0,1
"5 Words A Dividend Investor Never Wants To Hear, And Three Signs You Are About To Hear Them.",JNJ,1.0,0
"U.S. Futures Drift as Investors Await Earnings Season and Inflation Data: Dow Jones, S&P, Nasdaq",JNJ,1.0,1
Johnson & Johnson (JNJ) Q2 Earnings Preview: What You Should Know Beyond the Headline Estimates,JNJ,1.0,1
Is Pfizer on Track to Launch Its Next Lipitor -- This Time in the Weight-Loss Market?,PFE,-1.0,1
Pfizer (PFE) Gets An Opening In ATTR CM After AstraZeneca Trial Failure,PFE,0.0,2
Sector Update: Healthcare Stocks Decline Late Afternoon,PFE,-1.0,0
"Why Verizon, Clorox and More Dividend Stocks Are Flashing a Buy Signal",PFE,1.0,2
"Pfizer Poised for Mixed Second Quarter, RBC Says",PFE,0.0,1
How a Rival's Clinical Setback Sent BBIO Stock to a 52-Week High,PFE,-1.0,1
Will Pfizer (PFE) Beat Estimates Again in Its Next Earnings Report?,PFE,1.0,1
"McDonald’s or Pfizer: One Offers Real Growth, One Just Pays You to Wait",PFE,1.0,1
JNJ Stock Keeps Climbing. Should You Climb On?,PFE,0.0,1
Jim Cramer on Pfizer: “I Can’t Come Up With Where the Growth Is”,PFE,1.0,0
Q2 Earnings Season Arrives: Can Results Match Upbeat Expectations?,UNH,1.0,1
UnitedHealth Group (UNH) Stock Slides as Market Rises: Facts to Know Before You Trade,UNH,0.0,0
"Dow Jones Futures: Big Earnings Due As Market Sets Up; Nvidia, Micron, Sandisk, Robinhood, SpaceX In Focus",UNH,1.0,1
Is ELV's Capital Allocation Strategy Creating Long-Term Value?,UNH,0.0,1
Can UNH's Lifestyle Spending Account Redefine Employee Benefits?,UNH,0.0,1
Only 1 Major S&P 500 Sector Is Really Struggling Today,UNH,0.0,1
"U.S. Futures Drift as Investors Await Earnings Season and Inflation Data: Dow Jones, S&P, Nasdaq",UNH,1.0,1
UNH Showered Owners With Cash. The Stock Did Not Cooperate,UNH,0.0,1
The Main Reason Behind Buying UnitedHealth Before July 16,UNH,0.0,2
Is UnitedHealth Group (UNH) Fully Valued On Raised Guidance Ahead Of Q2?,UNH,1.0,1
"Amazon, Microsoft and Meta Among HSBC Earnings Picks",ABBV,1.0,2
West Pharmaceutical Services (WST) Sells SmartDose Rights To AbbVie To Refocus Its Business,ABBV,0.0,1
"Johnson & Johnson vs AbbVie: Two Paths to Pharma Dominance, One Winner",ABBV,0.0,1
JNJ Stock Keeps Climbing. Should You Climb On?,ABBV,0.0,1
3 Psychedelic Stocks With Potential Clinical Trial Catalysts,ABBV,0.0,1
AbbVie (ABBV) Stock Drops Despite Market Gains: Important Facts to Note,ABBV,1.0,0
Make Your AMGN Shares Pay You 8.7% While You Hold Them,ABBV,0.0,2
ABBV Leads Its Peer Group. You Pay For That,ABBV,0.0,1
WST Completes SmartDose Sale to AbbVie to Focus on Core Growth,ABBV,1.0,1
"SLS Stock Snaps 2-Day Slide: Sellas’ SLS009 AML Trial Spotlights Big Pharma Drug Combo From ABBV, RHHBY And BMY",ABBV,0.0,1
Merck (MRK) Stock Sinks As Market Gains: Here's Why,MRK,1.0,0
JNJ Stock Keeps Climbing. Should You Climb On?,MRK,0.0,1
This Blue-Chip Dividend Stock Is Outperforming the S&P 500 in 2026,MRK,1.0,2
EXEL Stock Soars 26.8% in Three Months: Is There More Room for Growth?,MRK,1.0,2
Make Your AMGN Shares Pay You 8.7% While You Hold Them,MRK,0.0,2
ABBV Leads Its Peer Group. You Pay For That,MRK,0.0,1
"Merck & Co., Inc. (MRK) is Attracting Investor Attention: Here is What You Should Know",MRK,0.0,1
Merck (MRK) Gets New HIV Access Deal As Its Valuation Narrative Stays In Focus,MRK,0.0,2
Will New KEYTRUDA Breast and Bladder Cancer Approvals Redefine Merck’s (MRK) Post-Exclusivity Narrative?,MRK,0.0,1
"Top Research Reports for Tesla, Bank of America & Merck",MRK,0.0,1
Abbott Labs Vs. Danaher: Abbott’s Everyday Products Beat Danaher’s Slumping Biotech Equipment,ABT,1.0,2
DXCM Grew. The Stock Did Not. Someone Is Wrong,ABT,0.0,1
The Wide Chasm Priced Into Boston Scientific Stock,ABT,0.0,0
Brokers Suggest Investing in Abbott (ABT): Read This Before Placing a Bet,ABT,0.0,1
Glucotrack Clears Key Milestone to Commercialize Its Implantable CGM,ABT,0.0,2
Abbott Labs vs. Glaukos: Which Healthcare Stock Is a Better Buy in 2026?,ABT,1.0,1
Abbott Laboratories (ABT) Q1 Sales And Guidance Put Fair Value Back In Focus,ABT,1.0,1
Is Abbott Laboratories (ABT) Stock Still a Healthcare Growth Opportunity After Analyst Target Cut?,ABT,0.3333333333333333,0
5 Dividend Kings to Buy in July with Irresistible Value and Yield,ABT,1.0,2
Eli Lilly and Novo Nordisk Are Fine -- but These 2 Stocks Could Be an Even Better Way to Invest in the GLP-1 Boom,ABT,-1.0,2
Thermo Fisher (TMO) Wins FBI Approval For Rapid DNA Tool In Crime Investigations,TMO,0.0,2
Is ICLR Stock a Value Trap or Turnaround After an Earnings Reset?,TMO,1.0,0
ICON Stock Outlook 2026 as Margin Woes Meet a Stronger Backlog Base,TMO,1.0,1
Top 10 medtech deals in the first half of 2026,TMO,0.0,1
Arcturus Therapeutics (ARCT) Stock Jumps 5.7%: Will It Continue to Soar?,TMO,0.0,2
"Thermo Fisher, Arcturus partner on Phase III ARCT-032 cystic fibrosis trial",TMO,0.0,2
Thermo Fisher Scientific Earnings Preview: What to Expect,TMO,1.0,1
Is Danaher (DHR) One of the Best Non-Tech Stocks to Buy According to Analysts?,TMO,1.0,2
"Bernstein Says Life Science Sector is Improving, Resumes Thermo Fisher Scientific (TMO) Coverage",TMO,0.0,2
Just How Far Could Corning Stock Swing From Here?,TMO,0.0,1
Is Pfizer on Track to Launch Its Next Lipitor -- This Time in the Weight-Loss Market?,LLY,-1.0,1
"Moderna Drops 11%, ImmunityBio and Sarepta Therapeutics Tumble 8% in Biotech Rout",LLY,0.0,0
These Are 5 Of The Best Stocks To Buy Or Watch Now,LLY,1.0,2
NVO Rallies 11% in a Month: How Should Investors Play the Stock?,LLY,0.0,2
JNJ Stock Keeps Climbing. Should You Climb On?,LLY,0.0,2
These 7 Stocks Are Analyst Favorites For Magnificent Earnings Growth; Citibank Earnings Approach,LLY,1.0,2
Top Funds Bet Big On 19 Stocks — Including Eye-Popping Sums On These Five,LLY,0.0,2
"Zacks Investment Ideas feature highlights: XLV, XBI, LLY, EXEL, PTCT, FTRE and ILMN",LLY,0.0,1
Record Numbers of Americans Are on GLP-1 Drugs. That's Great News for This Stock.,LLY,1.0,2
Eli Lilly’s $400 Billion Surge Is Reshaping Big Pharma,LLY,1.0,2
Will Myqorzo Drive Cytokinetics Higher Despite Competitive Pressure?,BMY,0.0,1
"Pfizer Poised for Mixed Second Quarter, RBC Says",BMY,0.0,1
Is Bristol-Myers Squibb (BMY) Cheap As Index Changes Reshape Investor Exposure?,BMY,0.0,1
PRTA Stock Rises Nearly 11% in Six Months: What's Driving It?,BMY,0.0,2
Make Your AMGN Shares Pay You 8.7% While You Hold Them,BMY,0.0,2
Bristol Myers Squibb (BMY) Expands QUILS Lung Cancer Detection Model Beyond Kentucky,BMY,0.0,2
ABBV Leads Its Peer Group. You Pay For That,BMY,0.0,0
Bristol-Myers Squibb’s Q2 2026 Earnings: What to Expect,BMY,1.0,1
Is Janux Therapeutics’ (JANX) Russell Index Exit Quietly Rewriting Its Investor Base and Story?,BMY,0.0,0
"SLS Stock Snaps 2-Day Slide: Sellas’ SLS009 AML Trial Spotlights Big Pharma Drug Combo From ABBV, RHHBY And BMY",BMY,0.0,2
Medtronic (MDT) Exceeds Market Returns: Some Facts to Consider,MDT,0.0,2
DXCM Grew. The Stock Did Not. Someone Is Wrong,MDT,0.0,1
JNJ Stock Keeps Climbing. Should You Climb On?,MDT,0.0,2
Medtronic (MDT) Could Be 9% Undervalued On Recall News,MDT,0.0,1
Medtronic (MDT) Recalls Octopus 4 Tissue Stabilizer After Manufacturing Assembly Issue,MDT,0.0,0
Medtronic (MDT) Stock Could Be 6% Undervalued On Fresh Deal News,MDT,0.0,2
The Wide Chasm Priced Into Boston Scientific Stock,MDT,0.0,0
Just How Much Risk Is Built Into ISRG Stock?,MDT,-1.0,0
J&J wins FDA approval for dual-energy ablation catheter,MDT,0.0,2
Just How Wide Is The Path Ahead For Intuitive Surgical Stock?,MDT,0.0,1
Abbott Labs Vs. Danaher: Abbott’s Everyday Products Beat Danaher’s Slumping Biotech Equipment,DHR,1.0,0
Jim Cramer on Danaher: “I Don’t Want You Anywhere Near That One”,DHR,0.0,0
"Danaher (DHR) Wins CE Mark For Access P Tau217 Assay, Is The Stock A Bargain?",DHR,0.0,2
VTRS or DHR: Which Is the Better Value Stock Right Now?,DHR,0.0,1
1 Cash-Producing Stock with Competitive Advantages and 2 We Brush Off,DHR,0.0,0
Will Strength in Biotechnology Unit Continue to Drive DHR's Growth?,DHR,1.0,1
Bet On These 5 Top-Ranked Stocks With Increasing P/E Ratios,DHR,0.0,2
What to Expect From Danaher's Next Quarterly Earnings Report,DHR,1.0,1
Danaher (DHR) Completes $9.9B Acquisition of Masimo Corporation,DHR,0.0,2
Is Danaher (DHR) One of the Best Non-Tech Stocks to Buy According to Analysts?,DHR,1.0,2
Truist Raises its Price Target on Amgen (AMGN),AMGN,0.0,2
Two Drugmakers Own 90% of the Obesity Boom. One Fund Owns Both for 0.59%,AMGN,0.0,1
Jim Cramer Says Biotech is The Hottest Group in The Market Right Now,AMGN,0.0,2
Make Your AMGN Shares Pay You 8.7% While You Hold Them,AMGN,0.0,2
"Amgen (AMGN): Buy, Sell, or Hold Post Q1 Earnings?",AMGN,0.3333333333333333,1
The Wide Divide Ahead For Eli Lilly Stock,AMGN,0.0,0
"Biopharma Sector Seen Shifting to Fundamentals From Macro in H2, Morgan Stanley Says",AMGN,0.0,1
Amgen (AMGN) Recalls Put Its Valuation Story Back In Focus,AMGN,0.0,0
Did Enbrel’s Price Cap Reprieve and New Recalls Just Rebalance Amgen’s (AMGN) Risk‑Reward Profile?,AMGN,-1.0,0
How Safe Is Amgen's Dividend?,AMGN,1.0,1
Oil Is Spiking and the Iran Ceasefire Is Cracking: What It Means for Your Stocks,XOM,0.0,2
ExxonMobil Expands Nigeria Presence With $1B Usan Infill Project,XOM,0.0,2
Can Chevron's Microsoft Partnership Power the Next Leg of Growth?,XOM,1.0,2
‘Staggering’: Goldman Sachs Says China’s Oil Demand May Never Fully Recover,XOM,0.0,0
ExxonMobil (XOM) Stock Looks Reasonable On Earnings But Stretched After 180% Run,XOM,1.0,1
The Real Risk Inside ExxonMobil Stock,XOM,-1.0,0
Exxon Mobil Holdings (XOM) Stock Falls Amid Market Uptick: What Investors Need to Know,XOM,1.0,0
CVX Stock Has A New Bull Case — Why Bank Of America Favors Chevron Over Exxon As Hormuz Risks Push Oil Prices Higher,XOM,0.0,2
Exxon Mobil signals massive profit spike but Wall Street is divided,XOM,1.0,1
Strong Commodity Tailwinds Poised to Boost XOM's Q2 Results,XOM,1.0,2
Oil Is Spiking and the Iran Ceasefire Is Cracking: What It Means for Your Stocks,CVX,0.0,2
ExxonMobil Expands Nigeria Presence With $1B Usan Infill Project,CVX,0.0,2
OXY Beats the Industry in the Past 9 Months: Buy or Stay Patient?,CVX,1.0,2
Can Chevron's Microsoft Partnership Power the Next Leg of Growth?,CVX,1.0,2
Chevron signs new five-year WA gas supply deal with Alinta Energy,CVX,0.0,2
3 Warren Buffett Dividend Stocks to Buy in July,CVX,1.0,2
‘Staggering’: Goldman Sachs Says China’s Oil Demand May Never Fully Recover,CVX,0.0,0
Chevron Signs Five-Year WA Gas Supply Deal With Alinta Energy,CVX,0.0,2
The Real Risk Inside ExxonMobil Stock,CVX,-1.0,0
Micron Gives Stocks a $250 Billion AI Boost: Stock Market Today,CVX,0.0,1
Oil Is Spiking and the Iran Ceasefire Is Cracking: What It Means for Your Stocks,COP,0.0,2
The Real Risk Inside ExxonMobil Stock,COP,-1.0,0
ConocoPhillips (COP) Stock Drops Despite Market Gains: Important Facts to Note,COP,1.0,0
The S&P 500 Is Up 5% This Year. This ‘Cash Cow’ Fund Is Up 9%,COP,0.0,1
"Stock Market News for July 9, 2026",COP,0.0,1
ConocoPhillips (COP) Stock Looks Undervalued On Rising Oil Price Tensions,COP,0.0,2
ConocoPhillips (COP) Gains As Market Dips: What You Should Know,COP,1.0,2
"Stocks to Watch Wednesday Recap: Broadcom, Alibaba, Chevron, Levi Strauss",COP,0.0,1
Is ConocoPhillips (COP) Still Below Fair Value After Oil Prices Jumped?,COP,-1.0,0
CVX Handed Shareholders $115 Bil In Five Years,COP,0.0,2
The S&P 500 Is Up 5% This Year. This ‘Cash Cow’ Fund Is Up 9%,SLB,0.0,1
"Wolfe Research bullish on SLB and BKR, sees selective oil services cycle ahead",SLB,1.0,2
Citi Lowers SLB Price Target Due to Ongoing Weakness in the Middle East,SLB,0.0,0
SLB (SLB) Increases Despite Market Slip: Here's What You Need to Know,SLB,0.0,1
SLB Boosts Middle East Growth With Seven-Year Kuwait Innovation Deal,SLB,1.0,2
SLB (SLB) Secures Seven Year Kuwait Oil Deal And Opens Global Tech Hub,SLB,0.0,2
Investors Heavily Search SLB Limited (SLB): Here is What You Need to Know,SLB,0.0,1
3 Stocks Under $50 with Warning Signs,SLB,-1.0,0
SLB N.V.'s Quarterly Earnings Preview: What You Need to Know,SLB,1.0,1
This Energy Stock Tops My July Buy List,SLB,1.0,2
The S&P 500 Is Up 5% This Year. This ‘Cash Cow’ Fund Is Up 9%,EOG,0.0,1
Crescent Energy Stock Rises 18% in 6 Months: Time to Buy or Stay?,EOG,1.0,1
Does EOG Resources’ (EOG) Index Exit Reveal More About Its Capital Discipline Than Its Prospects?,EOG,0.0,0
EOG Resources (EOG) On Encino Deal Optimism And What It Means For Valuation,EOG,0.0,1
EOG Resources (EOG) Stock Still Looks Below Fair Value Today,EOG,-1.0,2
JEPI vs. JEPQ: Which Is the Better Buy in July?,EOG,1.0,1
Occidental Is Winning in Multiple Ways Today,EOG,0.0,2
Jefferies Boosts Price Target on EOG Resources (EOG). Here is Why,EOG,0.0,2
Will EOG Resources (EOG) Beat Estimates Again in Its Next Earnings Report?,EOG,1.0,1
Morgan Stanley Keeps Equal Weight Rating on EOG Resources (EOG),EOG,0.0,1
OXY Beats the Industry in the Past 9 Months: Buy or Stay Patient?,OXY,1.0,1
The Real Risk Inside ExxonMobil Stock,OXY,-1.0,0
Occidental Petroleum (OXY) Stock Falls Amid Market Uptick: What Investors Need to Know,OXY,1.0,0
The S&P 500 Is Up 5% This Year. This ‘Cash Cow’ Fund Is Up 9%,OXY,0.0,1
Occidental Petroleum Stock’s Unusual Options Activity Signals Bullish Bets Amid Oil Rally,OXY,1.0,2
2 of Wall Street’s Favorite Stocks to Target This Week and 1 We Find Risky,OXY,0.0,1
Why Occidental Petroleum Stock Crushed It on Wednesday,OXY,0.0,2
"Micron, Broadcom, Palantir, Delta, SpaceX, and More Stocks That Explain Today’s Market",OXY,0.0,1
Sector Update: Energy Stocks Gain Late Afternoon,OXY,0.0,1
"Occidental Petroleum Jumps 4% While ExxonMobil, Chevron Lag: Evercore Upgrade and Oil Spike Fuel OXY’s Lead",OXY,1.0,2
HAL vs. FTI: Which Stock Is the Better Value Option?,HAL,0.0,1
Is GE Vernova Inc. (GEV) Stock Outpacing Its Oils-Energy Peers This Year?,HAL,0.0,1
Halliburton (HAL) Stock Still Looks Discounted Despite Its 81% Five Year Run,HAL,0.0,2
Is Halliburton (HAL) Cheap Following Its Basra Deal And Higher Oil Prices?,HAL,0.0,1
The S&P 500 Is Up 5% This Year. This ‘Cash Cow’ Fund Is Up 9%,HAL,0.0,1
"Stocks making big moves yesterday: Penguin Solutions, Kirby, Dell, Broadcom, and Halliburton",HAL,0.0,1
What Does HAL’s Board Loss Mean for Its Governance and Risk Oversight Story?,HAL,-1.0,0
